# Time (s),Altitude (m)
164.334,9520.482
164.834,9499.198
165.334,9477.943
165.834,9456.715
166.334,9435.515
166.834,9414.343
167.334,9393.199
167.834,9372.083
168.334,9350.995
168.834,9329.933
169.334,9308.9
169.834,9287.893
170.334,9266.915
170.834,9245.964
171.334,9225.04
171.834,9204.144
172.334,9183.276
172.834,9162.435
173.334,9141.621
173.834,9120.835
174.334,9100.075
174.834,9079.343
175.334,9058.638
175.834,9037.96
176.334,9017.308
176.834,8996.682
177.334,8976.082
177.834,8955.508
178.334,8934.962
178.834,8914.442
179.334,8893.947
179.834,8873.477
180.334,8853.032
180.834,8832.612
181.334,8812.217
181.834,8791.847
182.334,8771.504
182.834,8751.188
183.334,8730.897
183.834,8710.632
184.334,8690.392
184.834,8670.179
185.334,8649.991
185.834,8629.829
186.334,8609.692
186.834,8589.579
187.334,8569.491
187.834,8549.426
188.334,8529.386
188.834,8509.371
189.334,8489.379
189.834,8469.412
190.334,8449.469
190.834,8429.549
191.334,8409.653
191.834,8389.78
192.334,8369.931
192.834,8350.106
193.334,8330.304
193.834,8310.526
194.334,8290.772
194.834,8271.041
195.334,8251.335
195.834,8231.652
196.334,8211.993
196.834,8192.357
197.334,8172.745
197.834,8153.158
198.334,8133.596
198.834,8114.057
199.334,8094.541
199.834,8075.047
200.334,8055.575
200.834,8036.126
201.334,8016.701
201.834,7997.298
202.334,7977.917
202.834,7958.558
203.334,7939.221
203.834,7919.906
204.334,7900.613
204.834,7881.342
205.334,7862.092
205.834,7842.865
206.334,7823.66
206.834,7804.477
207.334,7785.317
207.834,7766.179
208.334,7747.062
208.834,7727.967
209.334,7708.894
209.834,7689.844
210.334,7670.816
210.834,7651.81
211.334,7632.827
211.834,7613.867
212.334,7594.929
212.834,7576.012
213.334,7557.115
213.834,7538.24
214.334,7519.384
214.834,7500.549
215.334,7481.734
215.834,7462.939
216.334,7444.165
216.834,7425.41
217.334,7406.676
217.834,7387.963
218.334,7369.271
218.834,7350.598
219.334,7331.946
219.834,7313.314
220.334,7294.702
220.834,7276.111
221.334,7257.541
221.834,7238.993
222.334,7220.465
222.834,7201.958
223.334,7183.47
223.834,7165.002
224.334,7146.555
224.834,7128.129
225.334,7109.724
225.834,7091.338
226.334,7072.972
226.834,7054.625
227.334,7036.297
227.834,7017.989
228.334,6999.699
228.834,6981.429
229.334,6963.178
229.834,6944.946
230.334,6926.737
230.834,6908.547
231.334,6890.375
231.834,6872.221
232.334,6854.084
232.834,6835.966
233.334,6817.866
233.834,6799.785
234.334,6781.723
234.834,6763.681
235.334,6745.657
235.834,6727.654
236.334,6709.67
236.834,6691.704
237.334,6673.757
237.834,6655.829
238.334,6637.919
238.834,6620.028
239.334,6602.156
239.834,6584.302
240.334,6566.467
240.834,6548.651
241.334,6530.853
241.834,6513.073
242.334,6495.311
242.834,6477.567
243.334,6459.841
243.834,6442.133
244.334,6424.442
244.834,6406.77
245.334,6389.116
245.834,6371.48
246.334,6353.86
246.834,6336.258
247.334,6318.673
247.834,6301.106
248.334,6283.557
248.834,6266.025
249.334,6248.511
249.834,6231.015
250.334,6213.537
250.834,6196.076
251.334,6178.633
251.834,6161.207
252.334,6143.799
252.834,6126.408
253.334,6109.035
253.834,6091.679
254.334,6074.341
254.834,6057.02
255.334,6039.716
255.834,6022.428
256.334,6005.156
256.834,5987.901
257.334,5970.663
257.834,5953.442
258.334,5936.237
258.834,5919.048
259.334,5901.876
259.834,5884.721
260.334,5867.582
260.834,5850.46
261.334,5833.356
261.834,5816.27
262.334,5799.202
262.834,5782.149
263.334,5765.111
263.834,5748.089
264.334,5731.083
264.834,5714.095
265.334,5697.124
265.834,5680.169
266.334,5663.231
266.834,5646.308
267.334,5629.4
267.834,5612.508
268.334,5595.634
268.834,5578.777
269.334,5561.934
269.834,5545.107
270.334,5528.297
270.834,5511.502
271.334,5494.723
271.834,5477.961
272.334,5461.215
272.834,5444.483
273.334,5427.766
273.834,5411.065
274.334,5394.378
274.834,5377.705
275.334,5361.047
275.834,5344.405
276.334,5327.778
276.834,5311.167
277.334,5294.571
277.834,5277.991
278.334,5261.426
278.834,5244.877
279.334,5228.344
279.834,5211.825
280.334,5195.321
280.834,5178.833
281.334,5162.36
281.834,5145.903
282.334,5129.46
282.834,5113.033
283.334,5096.619
283.834,5080.222
284.334,5063.84
284.834,5047.473
285.334,5031.12
285.834,5014.783
286.334,4998.459
286.834,4982.15
287.334,4965.855
287.834,4949.575
288.334,4933.31
288.834,4917.061
289.334,4900.825
289.834,4884.604
290.334,4868.397
290.834,4852.204
291.334,4836.027
291.834,4819.865
292.334,4803.715
292.834,4787.581
293.334,4771.462
293.834,4755.359
294.334,4739.272
294.834,4723.198
295.334,4707.137
295.834,4691.089
296.334,4675.055
296.834,4659.036
297.334,4643.03
297.834,4627.037
298.334,4611.058
298.834,4595.092
299.334,4579.141
299.834,4563.203
300.334,4547.281
300.834,4531.373
301.334,4515.477
301.834,4499.595
302.334,4483.726
302.834,4467.87
303.334,4452.027
303.834,4436.198
304.334,4420.382
304.834,4404.58
305.334,4388.79
305.834,4373.015
306.334,4357.256
306.834,4341.509
307.334,4325.775
307.834,4310.054
308.334,4294.348
308.834,4278.655
309.334,4262.976
309.834,4247.309
310.334,4231.655
310.834,4216.014
311.334,4200.387
311.834,4184.774
312.334,4169.175
312.834,4153.588
313.334,4138.013
313.834,4122.452
314.334,4106.903
314.834,4091.368
315.334,4075.848
315.834,4060.341
316.334,4044.846
316.834,4029.364
317.334,4013.894
317.834,3998.436
318.334,3982.991
318.834,3967.559
319.334,3952.143
319.834,3936.742
320.334,3921.353
320.834,3905.977
321.334,3890.611
321.834,3875.256
322.334,3859.913
322.834,3844.581
323.334,3829.261
323.834,3813.954
324.334,3798.659
324.834,3783.377
325.334,3768.11
325.834,3752.856
326.334,3737.613
326.834,3722.383
327.334,3707.165
327.834,3691.96
328.334,3676.767
328.834,3661.586
329.334,3646.418
329.834,3631.264
330.334,3616.123
330.834,3600.993
331.334,3585.875
331.834,3570.768
332.334,3555.673
332.834,3540.591
333.334,3525.522
333.834,3510.465
334.334,3495.42
334.834,3480.386
335.334,3465.365
335.834,3450.355
336.334,3435.355
336.834,3420.367
337.334,3405.39
337.834,3390.426
338.334,3375.474
338.834,3360.535
339.334,3345.606
339.834,3330.687
340.334,3315.782
340.834,3300.891
341.334,3286.011
341.834,3271.142
342.334,3256.286
342.834,3241.441
343.334,3226.609
343.834,3211.789
344.334,3196.982
344.834,3182.184
345.334,3167.397
345.834,3152.622
346.334,3137.858
346.834,3123.105
347.334,3108.363
347.834,3093.633
348.334,3078.915
348.834,3064.208
349.334,3049.513
349.834,3034.828
350.334,3020.155
350.834,3005.493
351.334,2990.842
351.834,2976.202
352.334,2961.574
352.834,2946.958
353.334,2932.355
353.834,2917.764
354.334,2903.186
354.834,2888.616
355.334,2874.057
355.834,2859.507
356.334,2844.966
356.834,2830.437
357.334,2815.919
357.834,2801.412
358.334,2786.915
358.834,2772.428
359.334,2757.953
359.834,2743.488
360.334,2729.035
360.834,2714.592
361.334,2700.161
361.834,2685.74
362.334,2671.33
362.834,2656.931
363.334,2642.543
363.834,2628.165
364.334,2613.799
364.834,2599.443
365.334,2585.097
365.834,2570.763
366.334,2556.442
366.834,2542.14
367.334,2527.853
367.834,2513.578
368.334,2499.312
368.834,2485.05
369.334,2470.797
369.834,2456.552
370.334,2442.316
370.834,2428.09
371.334,2413.879
371.834,2399.68
372.334,2385.487
372.834,2371.302
373.334,2357.126
373.834,2342.96
374.334,2328.805
374.834,2314.66
375.334,2300.526
375.834,2286.402
376.334,2272.289
376.834,2258.187
377.334,2244.094
377.834,2230.01
378.334,2215.936
378.834,2201.872
379.334,2187.818
379.834,2173.775
380.334,2159.741
380.834,2145.717
381.334,2131.704
381.834,2117.703
382.334,2103.711
382.834,2089.73
383.334,2075.757
383.834,2061.795
384.334,2047.843
384.834,2033.9
385.334,2019.97
385.834,2006.051
386.334,1992.141
386.834,1978.239
387.334,1964.346
387.834,1950.463
388.334,1936.589
388.834,1922.726
389.334,1908.874
389.834,1895.031
390.334,1881.197
390.834,1867.371
391.334,1853.554
391.834,1839.747
392.334,1825.951
392.834,1812.163
393.334,1798.386
393.834,1784.62
394.334,1770.863
394.834,1757.116
395.334,1743.378
395.834,1729.651
396.334,1715.933
396.834,1702.225
397.334,1688.526
397.834,1674.837
398.334,1661.159
398.834,1647.491
399.334,1633.833
399.834,1620.184
400.334,1606.546
400.834,1592.915
401.334,1579.292
401.834,1565.679
402.334,1552.074
402.834,1538.478
403.334,1524.891
403.834,1511.314
404.334,1497.746
404.834,1484.187
405.334,1470.637
405.834,1457.097
406.334,1443.564
406.834,1430.043
407.334,1416.535
407.834,1403.036
408.334,1389.545
408.834,1376.061
409.334,1362.586
409.834,1349.121
410.334,1335.667
410.834,1322.221
411.334,1308.783
411.834,1295.353
412.334,1281.932
412.834,1268.519
413.334,1255.115
413.834,1241.72
414.334,1228.334
414.834,1214.957
415.334,1201.59
415.834,1188.233
416.334,1174.884
416.834,1161.545
417.334,1148.215
417.834,1134.894
418.334,1121.581
418.834,1108.277
419.334,1094.982
419.834,1081.695
420.334,1068.416
420.834,1055.147
421.334,1041.886
421.834,1028.633
422.334,1015.389
422.834,1002.154
423.334,988.928
423.834,975.714
424.283,963.859
424.783,950.663
425.283,937.482
425.783,924.312
426.283,911.145
426.783,897.983
427.283,884.827
427.783,871.679
428.283,858.539
428.783,845.406
429.283,832.281
429.783,819.164
430.283,806.056
430.783,792.956
431.283,779.865
431.783,766.782
432.283,753.708
432.783,740.643
433.283,727.589
433.783,714.545
434.283,701.509
434.783,688.481
435.283,675.46
435.783,662.447
436.283,649.441
436.783,636.444
437.283,623.456
437.783,610.477
438.283,597.505
438.783,584.542
438.784,584.506
438.785,584.48
438.786,584.455
438.787,584.431
438.788,584.407
438.789,584.383
438.79,584.359
438.791,584.335
438.792,584.312
438.793,584.29
438.794,584.267
438.795,584.245
438.796,584.223
438.797,584.201
438.798,584.179
438.799,584.158
438.8,584.137
438.801,584.116
438.802,584.096
438.803,584.075
438.804,584.055
438.805,584.035
438.806,584.015
438.807,583.996
438.808,583.976
438.809,583.957
438.81,583.938
438.811,583.919
438.812,583.901
438.813,583.882
438.814,583.864
438.815,583.846
438.816,583.828
438.817,583.81
438.818,583.792
438.819,583.775
438.82,583.758
438.821,583.74
438.822,583.723
438.823,583.707
438.824,583.69
438.825,583.673
438.826,583.657
438.827,583.64
438.828,583.624
438.829,583.608
438.83,583.592
438.831,583.576
438.832,583.561
438.833,583.545
438.834,583.53
438.835,583.514
438.836,583.499
438.837,583.484
438.838,583.469
438.839,583.454
438.84,583.44
438.841,583.425
438.842,583.41
438.843,583.396
438.844,583.382
438.845,583.367
438.846,583.353
438.847,583.339
438.848,583.325
438.849,583.311
438.85,583.298
438.851,583.284
438.852,583.27
438.853,583.257
438.854,583.244
438.855,583.23
438.856,583.217
438.857,583.204
438.858,583.191
438.859,583.178
438.86,583.165
438.861,583.152
438.862,583.139
438.863,583.127
438.864,583.114
438.865,583.102
438.866,583.089
438.867,583.077
438.868,583.064
438.869,583.051
438.87,583.038
438.872,583.025
438.873,583.012
438.874,582.998
438.875,582.985
438.876,582.971
438.877,582.957
438.879,582.942
438.88,582.928
438.881,582.913
438.882,582.898
438.884,582.883
438.885,582.867
438.887,582.851
438.888,582.835
438.89,582.819
438.891,582.802
438.893,582.785
438.894,582.768
438.896,582.751
438.898,582.733
438.899,582.714
438.901,582.696
438.903,582.677
438.905,582.657
438.907,582.637
438.909,582.617
438.911,582.596
438.913,582.574
438.915,582.553
438.918,582.53
438.92,582.507
438.923,582.484
438.925,582.46
438.928,582.435
438.931,582.41
438.933,582.384
438.936,582.358
438.939,582.33
438.943,582.302
438.946,582.273
438.949,582.243
438.953,582.212
438.957,582.18
438.961,582.148
438.965,582.114
438.969,582.079
438.974,582.042
438.979,582.004
438.984,581.965
438.989,581.924
438.995,581.881
439.001,581.836
439.008,581.789
439.015,581.74
439.022,581.688
439.03,581.633
439.039,581.575
439.048,581.514
439.058,581.448
439.068,581.384
439.079,581.318
439.09,581.247
439.103,581.171
439.118,581.082
439.135,580.985
439.154,580.877
439.177,580.754
439.203,580.616
439.234,580.457
439.271,580.273
439.3,580.133
439.319,580.039
439.341,579.934
439.365,579.824
439.398,579.67
439.442,579.47
439.552,578.976
439.71,578.291
439.884,577.547
440.078,576.717
440.147,576.427
440.626,574.43
440.677,574.224
441.14,572.395
441.203,572.149
441.318,571.684
441.415,571.284
441.713,570.017
441.986,568.845
442.486,566.705
442.739,565.629
442.91,564.906
442.993,564.551
443.135,563.946
443.227,563.554
443.317,563.17
443.407,562.786
443.727,561.419
444.164,559.548
444.664,557.41
444.997,555.997
445.188,555.187
445.341,554.534
445.841,552.4
446.053,551.506
446.131,551.182
446.204,550.871
446.704,548.73
447.053,547.236
447.553,545.102
448.053,542.969
448.553,540.828
448.903,539.335
449.271,537.767
449.771,535.637
449.888,535.148
450.131,534.131
450.226,533.731
450.478,532.664
450.978,530.528
451.089,530.059
451.225,529.492
451.273,529.294
451.688,527.53
451.808,527.012
452.092,525.808
452.2,525.349
452.266,525.07
452.376,524.601
452.876,522.475
453.023,521.85
453.093,521.554
453.196,521.119
453.291,520.712
453.49,519.864
453.56,519.566
453.748,518.767
453.808,518.513
453.836,518.396
453.94,517.955
453.978,517.796
454.102,517.276
454.156,517.05
454.202,516.855
454.323,516.339
454.823,514.203
455.073,513.138
455.197,512.616
455.603,510.881
455.799,510.049
456.008,509.162
456.15,508.559
456.255,508.113
456.755,505.992
456.838,505.648
456.855,505.575
456.895,505.412
456.992,505.014
457.066,504.706
457.177,504.238
457.397,503.307
457.482,502.947
457.982,500.839
458.272,499.609
458.474,498.743
458.613,498.154
458.801,497.349
459.069,496.207
459.293,495.253
459.608,493.911
459.744,493.331
460.244,491.23
460.357,490.758
460.857,488.648
461.207,487.16
461.435,486.189
461.725,484.964
462.225,482.839
462.337,482.366
462.425,481.998
462.566,481.416
462.628,481.159
462.703,480.847
462.757,480.622
462.946,479.829
463.03,479.475
463.264,478.483
463.554,477.245
463.98,475.431
464.177,474.594
464.332,473.939
464.405,473.626
464.501,473.219
464.628,472.682
464.832,471.81
465.149,470.464
465.291,469.861
465.402,469.391
465.548,468.775
465.784,467.775
465.93,467.152
466.024,466.755
466.524,464.632
466.687,463.943
467.187,461.83
467.452,460.723
467.519,460.447
467.625,460.003
467.797,459.278
468.163,457.722
468.315,457.077
468.597,455.882
468.656,455.633
468.694,455.47
468.734,455.307
468.757,455.209
468.788,455.08
468.847,454.834
468.875,454.716
468.935,454.463
469.435,452.339
469.935,450.229
470.022,449.87
470.063,449.702
470.563,447.593
470.816,446.512
471.049,445.522
471.221,444.791
471.335,444.308
471.41,443.99
471.489,443.651
471.572,443.301
471.673,442.871
471.811,442.286
471.981,441.561
472.128,440.94
472.226,440.52
472.332,440.071
472.832,437.945
473.332,435.822
473.696,434.291
473.762,434.016
473.788,433.906
473.814,433.797
474.058,432.771
474.383,431.398
474.539,430.735
475.039,428.614
475.359,427.256
475.859,425.131
476.359,423.006
476.697,421.574
477.197,419.459
477.383,418.672
477.514,418.115
478.014,415.99
478.514,413.87
478.7,413.087
479.2,410.983
479.453,409.913
479.692,408.898
479.971,407.713
480.254,406.515
480.754,404.394
480.851,403.982
480.907,403.749
481.019,403.284
481.109,402.906
481.156,402.711
481.477,401.36
481.605,400.822
481.931,399.442
482.045,398.963
482.113,398.68
482.157,398.498
482.192,398.352
482.291,397.94
482.352,397.685
482.398,397.492
482.773,395.904
482.942,395.186
483.02,394.856
483.091,394.553
483.164,394.247
483.22,394.009
483.72,391.903
484.073,390.409
484.326,389.333
484.403,389.005
484.578,388.271
484.714,387.696
484.777,387.431
484.943,386.733
484.991,386.532
485.052,386.275
485.086,386.132
485.124,385.974
485.286,385.291
485.358,384.987
485.412,384.758
485.475,384.492
485.56,384.132
486.06,382.013
486.312,380.946
486.52,380.071
486.567,379.874
486.597,379.75
486.661,379.481
487.082,377.735
487.502,375.973
487.627,375.443
487.728,375.017
487.778,374.807
487.9,374.29
487.984,373.935
488.073,373.564
488.202,373.022
488.31,372.566
488.447,371.988
488.502,371.757
488.53,371.638
488.575,371.451
489.075,369.334
489.25,368.594
489.329,368.261
489.351,368.17
489.519,367.464
489.701,366.695
489.792,366.31
490.078,365.103
490.578,362.992
490.725,362.37
491.225,360.283
491.522,359.036
491.665,358.429
491.852,357.636
491.981,357.088
492.069,356.716
492.123,356.492
492.243,355.986
492.382,355.398
492.729,353.929
492.796,353.646
492.825,353.525
492.854,353.406
492.894,353.238
492.936,353.061
493.241,351.784
493.342,351.36
493.407,351.085
493.7,349.846
494.146,347.959
494.385,346.951
494.607,346.014
494.683,345.695
494.727,345.51
494.769,345.334
494.817,345.132
494.877,344.878
494.982,344.436
495.264,343.246
495.339,342.929
495.402,342.668
495.443,342.495
495.47,342.381
495.541,342.088
495.573,341.956
495.816,340.936
495.955,340.35
495.985,340.225
496.019,340.084
496.097,339.756
496.189,339.369
496.258,339.081
496.312,338.852
496.451,338.267
496.506,338.037
496.545,337.871
496.601,337.634
496.706,337.192
496.84,336.625
496.919,336.292
496.962,336.112
497.143,335.348
497.643,333.232
498.059,331.475
498.559,329.375
498.975,327.618
499.475,325.507
499.625,324.878
499.709,324.529
500.191,322.494
500.559,320.936
500.87,319.625
501.045,318.888
501.095,318.678
501.118,318.584
501.182,318.315
501.24,318.07
501.321,317.732
501.821,315.65
501.926,315.214
502.156,314.253
502.656,312.164
502.833,311.423
502.882,311.218
502.948,310.942
503.127,310.202
503.171,310.018
503.281,309.562
503.392,309.094
503.892,306.979
504.269,305.39
504.46,304.587
504.651,303.781
505.042,302.133
505.542,300.02
506.033,297.952
506.121,297.583
506.222,297.168
506.254,297.035
506.319,296.764
506.391,296.465
506.456,296.194
506.63,295.464
506.707,295.14
506.761,294.915
506.9,294.332
507.013,293.859
507.234,292.927
507.734,290.815
507.891,290.157
507.939,289.958
508.041,289.53
508.236,288.712
508.467,287.738
508.967,285.628
509.467,283.517
509.967,281.407
510.26,280.174
510.76,278.088
510.872,277.622
511.035,276.946
511.535,274.893
511.625,274.525
511.676,274.314
511.993,272.986
512.069,272.663
512.116,272.47
512.616,270.401
512.744,269.87
512.832,269.505
513.021,268.723
513.521,266.659
513.622,266.24
514.122,264.146
514.284,263.464
514.407,262.946
514.907,260.837
515.199,259.613
515.371,258.892
515.871,256.783
516.371,254.679
516.871,252.586
516.983,252.117
517.481,250.069
517.611,249.533
517.915,248.258
518.415,246.156
518.915,244.061
519.239,242.72
519.417,241.985
519.477,241.736
519.565,241.368
519.629,241.101
520.004,239.567
520.081,239.257
520.182,238.839
520.231,238.638
520.606,237.063
521.07,235.108
521.347,233.954
521.847,231.87
522.011,231.188
522.093,230.842
522.126,230.704
522.177,230.489
522.252,230.18
522.317,229.906
522.375,229.666
522.473,229.256
522.584,228.794
522.665,228.452
522.912,227.418
522.984,227.116
523.025,226.946
523.225,226.122
523.267,225.95
523.378,225.493
523.556,224.748
523.748,223.946
523.939,223.147
524.116,222.403
524.383,221.283
524.446,221.019
524.474,220.899
524.578,220.468
524.61,220.331
524.685,220.021
524.988,218.762
525.488,216.697
525.563,216.389
525.658,216.001
525.711,215.786
525.871,215.13
525.976,214.701
526.112,214.15
526.159,213.96
526.223,213.701
526.397,212.983
526.816,211.238
526.966,210.611
527.466,208.514
527.728,207.428
527.826,207.023
527.885,206.779
527.974,206.405
528.007,206.267
528.507,204.189
528.628,203.69
529.04,201.971
529.298,200.889
529.798,198.788
530.298,196.686
530.798,194.587
531.298,192.494
531.798,190.395
531.928,189.851
531.986,189.61
532.101,189.132
532.173,188.829
532.316,188.234
532.52,187.386
532.637,186.902
532.72,186.558
532.774,186.335
532.823,186.13
533.323,184.027
533.814,181.983
534.092,180.824
534.463,179.265
534.558,178.872
534.649,178.498
535.047,176.907
535.113,176.647
535.194,176.317
535.367,175.604
535.482,175.124
535.567,174.771
535.683,174.283
535.748,174.013
535.799,173.8
535.977,173.054
536.182,172.2
536.31,171.664
536.497,170.882
536.997,168.782
537.4,167.096
537.9,165.013
538.4,162.917
538.614,162.022
538.957,160.586
539.077,160.084
539.211,159.524
539.268,159.284
539.379,158.82
539.533,158.18
539.742,157.305
540.242,155.208
540.742,153.113
541.096,151.629
541.217,151.128
541.389,150.424
541.466,150.112
541.507,149.943
541.559,149.729
541.807,148.701
542.238,146.894
542.411,146.171
542.565,145.538
542.68,145.067
542.785,144.636
543.285,142.545
543.489,141.688
543.989,139.597
544.231,138.597
544.42,137.818
544.558,137.244
544.863,135.971
545.249,134.353
545.515,133.247
545.719,132.399
546.014,131.162
546.514,129.069
547.014,126.974
547.514,124.88
548.014,122.792
548.186,122.074
548.568,120.484
548.933,118.956
549.084,118.324
549.298,117.436
549.798,115.349
549.877,115.018
550.091,114.154
550.137,113.974
550.356,113.077
550.548,112.273
550.902,110.795
551.044,110.201
551.1,109.969
551.6,107.88
551.689,107.508
551.746,107.277
551.765,107.198
551.88,106.734
551.953,106.437
551.988,106.296
552.01,106.207
552.043,106.071
552.097,105.849
552.15,105.632
552.189,105.472
552.233,105.29
552.344,104.833
552.404,104.585
552.904,102.49
553.207,101.222
553.422,100.334
553.515,99.949
553.569,99.727
553.643,99.417
553.756,98.947
553.986,97.989
554.045,97.744
554.063,97.668
554.125,97.411
554.171,97.223
554.211,97.057
554.477,95.948
554.856,94.363
555.356,92.272
555.793,90.45
555.881,90.087
555.939,89.849
556.293,88.387
556.335,88.216
556.404,87.938
556.444,87.777
556.466,87.686
556.513,87.496
556.642,86.969
557.142,84.888
557.441,83.633
557.545,83.202
557.572,83.091
557.707,82.533
557.839,81.981
558.339,79.902
558.516,79.166
558.59,78.861
558.738,78.256
558.779,78.09
558.827,77.894
558.994,77.206
559.114,76.71
559.274,76.042
559.343,75.755
559.476,75.203
559.515,75.039
559.653,74.469
559.71,74.23
559.871,73.558
560.371,71.47
560.463,71.093
560.545,70.761
560.577,70.633
560.617,70.473
560.653,70.327
560.685,70.193
560.75,69.928
560.936,69.157
561.436,67.069
561.597,66.402
562.097,64.356
562.323,63.424
562.491,62.72
562.584,62.334
563.084,60.253
563.203,59.761
563.28,59.444
563.321,59.272
563.471,58.65
563.53,58.408
563.613,58.062
563.674,57.807
563.775,57.389
563.937,56.712
564.006,56.427
564.354,54.979
564.436,54.639
564.653,53.747
564.783,53.209
564.827,53.028
564.906,52.703
564.984,52.38
565.064,52.047
565.256,51.249
565.756,49.162
566.029,48.028
566.256,47.083
566.663,45.388
567.163,43.302
567.332,42.598
567.406,42.292
567.591,41.524
567.644,41.304
568.144,39.262
568.209,39.002
568.323,38.551
568.358,38.408
568.388,38.29
568.447,38.053
568.494,37.861
568.824,36.494
568.919,36.098
569.29,34.577
569.496,33.735
569.657,33.07
569.745,32.704
570.245,30.619
570.364,30.126
570.688,28.808
570.832,28.227
570.942,27.776
571.442,25.689
571.942,23.61
572.442,21.522
572.581,20.938
572.797,20.048
572.86,19.789
572.902,19.616
572.947,19.43
573.03,19.086
573.125,18.69
573.442,17.373
573.591,16.752
573.818,15.809
573.923,15.377
574.423,13.298
574.923,11.216
575.423,9.133
575.613,8.344
576.113,6.303
576.189,5.994
576.251,5.744
576.751,3.697
576.858,3.256
576.933,2.946
576.99,2.716
577.033,2.539
577.533,0.517
577.604,0.231
577.662,0
